observation_date,BBKMGDP
2022-01-01,-4.3831447213895593507
2022-02-01,-2.3020702333589855293
2022-03-01,0.4160544714622860241
2022-04-01,0.2883752511737687207
2022-05-01,0.7119497671990684395
2022-06-01,1.6946788567571571260
2022-07-01,2.9392936899244039850
2022-08-01,3.4469918355176925040
2022-09-01,4.3473331397076844240
2022-10-01,4.0534189186353124512
2022-11-01,1.9254662887695992435
2022-12-01,1.5303041807069051039
2023-01-01,4.9403491345622141395
2023-02-01,1.9543731214947768215
2023-03-01,1.0996394896155683440
2023-04-01,2.9016853069154806555
2023-05-01,2.7768001974612865901
2023-06-01,3.3754526686089447729
2023-07-01,4.8031461120146454746
2023-08-01,5.0062955538829587709
2023-09-01,4.4175410166376716248
2023-10-01,2.2984134695439015772
2023-11-01,2.9414555526314631884
2023-12-01,1.6665274644008447602
2024-01-01,-0.4666204121014310147
2024-02-01,3.6715645475582823209
2024-03-01,2.3186552490111793645
2024-04-01,2.7429318727505673792
2024-05-01,3.6936953594124344313
2024-06-01,2.5864873386877702544
2024-07-01,2.5568564181464021878
2024-08-01,3.5081095942239706176
2024-09-01,3.6874606184179086199
2024-10-01,2.6070587946634953269
2024-11-01,1.6902930263617319540
2024-12-01,-0.3049361978571094034
