observation_date,UMCSENT
2020-01-01,99.8
2020-02-01,101.0
2020-03-01,89.1
2020-04-01,71.8
2020-05-01,72.3
2020-06-01,78.1
2020-07-01,72.5
2020-08-01,74.1
2020-09-01,80.4
2020-10-01,81.8
2020-11-01,76.9
2020-12-01,80.7
2021-01-01,79.0
2021-02-01,76.8
2021-03-01,84.9
2021-04-01,88.3
2021-05-01,82.9
2021-06-01,85.5
2021-07-01,81.2
2021-08-01,70.3
2021-09-01,72.8
2021-10-01,71.7
2021-11-01,67.4
2021-12-01,70.6
2022-01-01,67.2
2022-02-01,62.8
2022-03-01,59.4
2022-04-01,65.2
2022-05-01,58.4
2022-06-01,50.0
2022-07-01,51.5
2022-08-01,58.2
2022-09-01,58.6
2022-10-01,59.9
2022-11-01,56.7
2022-12-01,59.8
2023-01-01,64.9
2023-02-01,66.9
2023-03-01,62.0
2023-04-01,63.7
2023-05-01,59.0
2023-06-01,64.2
2023-07-01,71.5
2023-08-01,69.4
2023-09-01,67.8
2023-10-01,63.8
2023-11-01,61.3
2023-12-01,69.7
2024-01-01,79.0
2024-02-01,76.9
2024-03-01,79.4
2024-04-01,77.2
2024-05-01,69.1
2024-06-01,68.2
2024-07-01,66.4
2024-08-01,67.9
2024-09-01,70.1
2024-10-01,70.5
2024-11-01,71.8
2024-12-01,74.0
